data_source,region,sex,age,population
worldpop,lesotho,female,50,22160.99609375
worldpop,lesotho,female,55,18955.322265625
worldpop,lesotho,female,60,17810.58203125
worldpop,lesotho,female,65,15832.2724609375
worldpop,lesotho,female,70,11705.63671875
worldpop,lesotho,female,75,6758.15576171875
worldpop,lesotho,female,80,6989.464
worldpop,lesotho,male,0,23575.765625
worldpop,lesotho,male,5,112633.796875
worldpop,lesotho,male,10,100521.375
worldpop,lesotho,male,15,94821.2109375
worldpop,lesotho,male,20,92203.6328125
worldpop,lesotho,male,25,83520.96875
worldpop,lesotho,male,30,75345.609375
worldpop,lesotho,male,35,64218.18359375
worldpop,lesotho,male,40,46632.6484375
worldpop,lesotho,male,45,32295.271484375
worldpop,lesotho,male,50,24595.419921875
worldpop,lesotho,male,55,21332.5625
worldpop,lesotho,male,60,20746.8203125
worldpop,lesotho,male,65,18383.37890625
worldpop,lesotho,male,70,13028.072265625
worldpop,lesotho,male,75,6677.697265625
worldpop,lesotho,male,80,5664.9673
worldpop,Berea,female,0,3299.24
worldpop,Berea,female,5,16388.32
worldpop,Berea,female,10,15131.29
worldpop,Berea,female,15,15289.68
worldpop,Berea,female,20,15872.93
worldpop,Berea,female,25,14529.34
worldpop,Berea,female,30,12844.72
worldpop,Berea,female,35,10185.04
worldpop,Berea,female,40,6694.23
worldpop,Berea,female,45,4519.78
worldpop,Berea,female,50,3354.12
worldpop,Berea,female,55,2799.31
worldpop,Berea,female,60,2713.2
worldpop,Berea,female,65,2363.8
worldpop,Berea,female,70,1582.79
worldpop,Berea,female,75,1009.75
worldpop,Berea,female,80,1011.31
worldpop,Berea,male,0,3415.4
worldpop,Berea,male,5,16370.44
worldpop,Berea,male,10,15282.43
worldpop,Berea,male,15,14160.82
worldpop,Berea,male,20,13970.79
worldpop,Berea,male,25,12126.73
worldpop,Berea,male,30,11212.86
worldpop,Berea,male,35,9779.64
worldpop,Berea,male,40,7432.13
worldpop,Berea,male,45,5312.02
worldpop,Berea,male,50,3720.82
worldpop,Berea,male,55,3108.13
worldpop,Berea,male,60,3096.13
worldpop,Berea,male,65,2840.02
worldpop,Berea,male,70,1769.65
worldpop,Berea,male,75,935.18
worldpop,Berea,male,80,795.77
worldpop,Butha-Buthe,female,0,1345.23
worldpop,Butha-Buthe,female,5,6369.8
worldpop,Butha-Buthe,female,10,6035.6
worldpop,Butha-Buthe,female,15,5941.2
worldpop,Butha-Buthe,female,20,5973.8
worldpop,Butha-Buthe,female,25,5396.53
worldpop,Butha-Buthe,female,30,4580.81
worldpop,Butha-Buthe,female,35,3549.29
worldpop,Butha-Buthe,female,40,2399.53
worldpop,Butha-Buthe,female,45,1729.42
worldpop,Butha-Buthe,female,50,1304.77
worldpop,Butha-Buthe,female,55,1112.39
worldpop,Butha-Buthe,female,60,1049.25
worldpop,Butha-Buthe,female,65,951.07
worldpop,Butha-Buthe,female,70,684.5
worldpop,Butha-Buthe,female,75,360.64
worldpop,Butha-Buthe,female,80,386.64
worldpop,Butha-Buthe,male,0,1378.56
worldpop,Butha-Buthe,male,5,6495.93
worldpop,Butha-Buthe,male,10,6087.13
worldpop,Butha-Buthe,male,15,5672.89
worldpop,Butha-Buthe,male,20,5486.08
worldpop,Butha-Buthe,male,25,5081.49
worldpop,Butha-Buthe,male,30,4436.26
worldpop,Butha-Buthe,male,35,3714.02
worldpop,Butha-Buthe,male,40,2701.11
worldpop,Butha-Buthe,male,45,1909.57
worldpop,Butha-Buthe,male,50,1563.26
worldpop,Butha-Buthe,male,55,1282.89
worldpop,Butha-Buthe,male,60,1276.65
worldpop,Butha-Buthe,male,65,1104.19
worldpop,Butha-Buthe,male,70,754.87
worldpop,Butha-Buthe,male,75,411.08
worldpop,Butha-Buthe,male,80,304.43
worldpop,Leribe,female,0,3310.0
worldpop,Leribe,female,5,16197.08
worldpop,Leribe,female,10,15302.95
worldpop,Leribe,female,15,15070.03
worldpop,Leribe,female,20,15336.74
worldpop,Leribe,female,25,13750.17
worldpop,Leribe,female,30,12345.85
worldpop,Leribe,female,35,9702.73
worldpop,Leribe,female,40,6353.43
worldpop,Leribe,female,45,4462.22
worldpop,Leribe,female,50,3266.47
worldpop,Leribe,female,55,2826.01
worldpop,Leribe,female,60,2698.76
worldpop,Leribe,female,65,2280.29
worldpop,Leribe,female,70,1700.89
worldpop,Leribe,female,75,1014.82
worldpop,Leribe,female,80,957.43
worldpop,Leribe,male,0,3380.61
worldpop,Leribe,male,5,16662.52
worldpop,Leribe,male,10,15019.67
worldpop,Leribe,male,15,14160.62
worldpop,Leribe,male,20,13516.98
worldpop,Leribe,male,25,11990.24
worldpop,Leribe,male,30,10629.09
worldpop,Leribe,male,35,9818.05
worldpop,Leribe,male,40,6920.42
worldpop,Leribe,male,45,5118.51
worldpop,Leribe,male,50,3645.7
worldpop,Leribe,male,55,3188.54
worldpop,Leribe,male,60,3098.45
worldpop,Leribe,male,65,2707.9
worldpop,Leribe,male,70,1895.04
worldpop,Leribe,male,75,1101.23
worldpop,Leribe,male,80,881.4
worldpop,Mafeteng,female,0,2041.13
worldpop,Mafeteng,female,5,9830.46
worldpop,Mafeteng,female,10,9458.63
worldpop,Mafeteng,female,15,9772.56
worldpop,Mafeteng,female,20,9282.4
worldpop,Mafeteng,female,25,8225.01
worldpop,Mafeteng,female,30,7217.02
worldpop,Mafeteng,female,35,5578.68
worldpop,Mafeteng,female,40,3939.79
worldpop,Mafeteng,female,45,2786.32
worldpop,Mafeteng,female,50,2244.17
worldpop,Mafeteng,female,55,1874.32
worldpop,Mafeteng,female,60,1755.15
worldpop,Mafeteng,female,65,1639.43
worldpop,Mafeteng,female,70,1141.65
worldpop,Mafeteng,female,75,742.53
worldpop,Mafeteng,female,80,761.32
worldpop,Mafeteng,male,0,2119.44
worldpop,Mafeteng,male,5,10247.49
worldpop,Mafeteng,male,10,9549.48
worldpop,Mafeteng,male,15,9952.75
worldpop,Mafeteng,male,20,9182.25
worldpop,Mafeteng,male,25,7481.01
worldpop,Mafeteng,male,30,6588.59
worldpop,Mafeteng,male,35,5493.77
worldpop,Mafeteng,male,40,4230.41
worldpop,Mafeteng,male,45,3208.51
worldpop,Mafeteng,male,50,2423.73
worldpop,Mafeteng,male,55,2408.55
worldpop,Mafeteng,male,60,2228.66
worldpop,Mafeteng,male,65,1877.73
worldpop,Mafeteng,male,70,1386.54
worldpop,Mafeteng,male,75,714.58
worldpop,Mafeteng,male,80,629.39
worldpop,Maseru,female,0,5059.97
worldpop,Maseru,female,5,24036.38
worldpop,Maseru,female,10,22216.85
worldpop,Maseru,female,15,24065.82
worldpop,Maseru,female,20,29746.58
worldpop,Maseru,female,25,29330.84
worldpop,Maseru,female,30,24541.4
worldpop,Maseru,female,35,17838.3
worldpop,Maseru,female,40,10600.2
worldpop,Maseru,female,45,6944.08
worldpop,Maseru,female,50,5174.16
worldpop,Maseru,female,55,4409.97
